id_ucznia	imie	nazwisko
1	Leonardo	Kwiatkowski
2	Kajetan	Urbanska
3	Korneliusz	Andrzejewski
4	Gabriel	Gorski
5	Henryk	Sadowska
6	Michal	Kazmierczak
7	Allan	Kwiatkowski
8	Norbert	Sikorska
9	Alek	Wojcik
10	Fabian	Kolodziej
11	Juliusz	Baranowski
12	Igor	Zawadzki
13	Ludwik	Kowalski
14	Lukasz	Makowski
15	Eugeniusz	Nowak
16	Kornel	Wozniak
17	Ireneusz	Zalewski
18	Norbert	Krawczyk
19	Gustaw	Mroz
20	Janusz	Zawadzki
21	Leszek	Mroz
22	Marcel	Kolodziej
23	Marian	Wozniak
24	Albert	Sawicki
25	Ryszard	Michalak
26	Bartosz	Urbanska
27	Jakub	Maciejewski
28	Anatol	Szulc
29	Gracjan	Nowak
30	Aureliusz	Witkowski
31	Ireneusz	Blaszczyk
32	Lukasz	Dabrowski
33	Martin	Bak
34	Hubert	Krawczyk
35	Artur	Wozniak
36	Piotr	Baran
37	Martin	Jankowski
38	Julian	Krawczyk
39	Maksymilian	Zielinski
40	Oskar	Wozniak
41	Olaf	Bak
42	Damian	Baranowski
43	Igor	Szewczyk
44	Piotr	Kaminski
45	Kajetan	Mroz
46	Korneliusz	Gorecki
47	Klaudiusz	Kwiatkowski
48	Henryk	Makowski
49	Joachim	Rutkowski
50	Cezary	Andrzejewski
51	Emanuel	Jankowski
52	Amir	Kaczmarczyk
53	Denis	Kowalski
54	Bogumil	Gajewska
55	Ignacy	Krupa
56	Emil	Piotrowski
57	Adrian	Nowak
58	Norbert	Malinowski
59	Aureliusz	Duda
60	Kajetan	Gajewska
61	Kajetan	Duda
62	Czeslaw	Wroblewski
63	Blazej	Kaminski
64	Borys	Szulc
65	Kacper	Szymanski
66	Jaroslaw	Jaworski
67	Kordian	Wojcik
68	Konstanty	Krupa
69	Kornel	Gorski
70	Patryk	Ostrowski
71	Michal	Lewandowski
72	Gabriel	Sobczak
73	Krystian	Ziolkowska
74	Emanuel	Nowak
75	Henryk	Malinowski
76	Mariusz	Sikorska
77	Marcel	Piotrowski
78	Kewin	Czerwinski
79	Gniewomir	Mazurek
80	Robert	Sikorska
81	Emil	Wojcik
82	Martin	Krajewska
83	Alan	Makowski
84	Denis	Chmielewski
85	Ksawery	Lis
86	Kewin	Jankowski
87	Milosz	Kazmierczak
88	Oktawian	Czarnecki
89	Aureliusz	Wojciechowski
90	Marek	Jakubowski
91	Julian	Wozniak
92	Lucjan	Jakubowski
93	Gustaw	Wisniewski
94	Bogumil	Zielinski
95	Andrzej	Wojcik
96	Milan	Sawicki
97	Patryk	Blaszczyk
98	Ludwik	Kazmierczak
99	Robert	Walczak
100	Miroslaw	Chmielewski
101	Eleonora	Pawlak
102	Amalia	Sikora
103	Klaudia	Wlodarczyk
104	Amalia	Glowacka
105	Ola	Kowalska
106	Sylwia	Zalewska
107	Faustyna	Maciejewska
108	Wioletta	Kowalczyk
109	Marzanna	Kwiatkowska
110	Malgorzata	Sawicka
111	Olimpia	Baran
112	Aneta	Chmielewska
113	Zofia	Baran
114	Aneta	Kazmierczak
115	Florencja	Makowska
116	Wioletta	Wojcik
117	Danuta	Gorska
118	Paulina	Jakubowska
119	Antonina	Wisniewska
120	Bogumila	Bak
121	Adriana	Kwiatkowska
122	Eliza	Krupa
123	Cecylia	Nowak
124	Ida	Sawicka
125	Roksana	Gorska
126	Irena	Gajewska
127	Bernadetta	Krajewska
128	Zaneta	Krupa
129	Stefania	Marciniak
130	Helena	Lis
131	Arleta	Sobczak
132	Karolina	Chmielewska
133	Otylia	Ostrowska
134	Edyta	Adamska
135	Daria	Wasilewska
136	Lila	Stepien
137	Izyda	Rutkowska
138	Bianka	Zalewska
139	Marzanna	Jankowska
140	Magda	Kolodziej
141	Stanislawa	Wisniewska
142	Helena	Zielinska
143	Malgorzata	Kucharska
144	Franciszka	Duda
145	Alina	Kucharska
146	Marcelina	Walczak
147	Olga	Zawadzka
148	Monika	Mazurek
149	Kinga	Lis
150	Konstancja	Makowska
151	Roza	Pawlak
152	Malwina	Szczepanska
153	Beata	Kolodziej
154	Marcelina	Gorska
155	Iza	Sikora
156	Helena	Makowska
157	Otylia	Urbanska
158	Elwira	Jasinska
159	Emilia	Duda
160	Jowita	Mroz
161	Kinga	Urbanska
162	Lila	Kazmierczak
163	Alina	Kaczmarczyk
164	Alicja	Glowacka
165	Aneta	Wisniewska
166	Lucyna	Dabrowska
167	Joanna	Kubiak
168	Nikola	Jankowska
169	Jowita	Mazurek
170	Teresa	Stepien
171	Zaneta	Adamska
172	Lara	Bak
173	Franciszka	Zawadzka
174	Bogumila	Kwiatkowska
175	Jagoda	Rutkowska
176	Adriana	Wojcik
177	Elena	Stepien
178	Olimpia	Borkowska
179	Marta	Maciejewska
180	Daria	Przybylska
